image,target_xywh,target_cls,target_cls_fine,xywh,cls,conf
bugs-and-blight-061_jpg.rf.a57121b58b5021e5ed1c0156de75bfad,"[[0.43478260869565216, 0.7148033126293996, 0.18090062111801242, 0.28778467908902694], [0.6026785714285714, 0.5424430641821946, 0.12616459627329193, 0.2991718426501035], [0.4439052795031056, 0.47696687370600416, 0.14324534161490685, 0.13612836438923395], [0.4644798136645963, 0.3558488612836439, 0.16032608695652173, 0.11024844720496894]]","[11, 11, 11, 11]","[19, 19, 19, 19]","[[1081.0849609375, 1398.9708251953125, 486.82550048828125, 576.584716796875], [1563.528076171875, 1080.601318359375, 298.5489501953125, 549.4147338867188], [646.8153686523438, 1143.6197509765625, 457.5393371582031, 351.72418212890625], [286.3211669921875, 725.7614135742188, 313.8402099609375, 575.4676513671875], [1159.4810791015625, 696.6681518554688, 510.21563720703125, 251.4930419921875], [999.4682006835938, 113.24589538574219, 274.8428955078125, 225.70883178710938], [1373.21533203125, 417.0586853027344, 221.336669921875, 265.13641357421875]]","[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0]","[0.927757203578949, 0.9120391607284546, 0.8378446698188782, 0.8344832062721252, 0.7295406460762024, 0.48500579595565796, 0.2802537977695465]"
Bacterial_spots563_jpg.rf.95cb38fca74dd6af32da52d30a565927,"[[0.595625, 0.4825, 0.80875, 0.875]]",[11],[22],"[[489.9302978515625, 281.46136474609375, 618.330322265625, 553.305419921875], [144.13050842285156, 260.957275390625, 287.6641540527344, 404.71197509765625]]","[11.0, 11.0]","[0.9193685054779053, 0.7324203252792358]"
636368370164094909-late-blight-15-_jpg.rf.3f5c8b56ad853369f0727d9cc4373a7a,"[[0.5861111111111111, 0.4740740740740741, 0.7092592592592593, 0.5432098765432098]]",[11],[23],"[[319.0742492675781, 190.14996337890625, 395.86883544921875, 212.51788330078125]]",[11.0],[0.8896546363830566]
why-are-my-pepper-plants-yellow-yellow-pepper-plants-yellow-leaves-green-veins-pepper-plants-yellow-veins_jpg.rf.1b69a7bf01e0ed9eae5fa02c88bed399,"[[0.5486935866983373, 0.6613333333333333, 0.7268408551068883, 0.6773333333333333], [0.2327790973871734, 0.448, 0.4418052256532066, 0.5066666666666667]]","[1, 1]","[3, 3]","[[231.75320434570312, 472.76593017578125, 294.012451171875, 554.4681396484375], [96.29319763183594, 330.4854736328125, 185.5965576171875, 370.8049011230469], [351.8375244140625, 155.244384765625, 137.67672729492188, 142.9061737060547]]","[1.0, 1.0, 1.0]","[0.9731208086013794, 0.9464654922485352, 0.62762850522995]"
potatobd001_jpg.rf.95c1a7efd6b018c7fcc7c417aaa20564,"[[0.5130434782608696, 0.5833333333333334, 0.8695652173913043, 0.8333333333333334]]",[6],[12],"[[112.15901947021484, 87.26850128173828, 223.9967498779297, 124.73173522949219], [113.85324096679688, 85.71231842041016, 227.70648193359375, 128.3920135498047]]","[6.0, 11.0]","[0.7846908569335938, 0.5181750655174255]"
early-blight-septoria-ls-fig-3_jpg.rf.e126060c4ba5d8fce30035c5ff0d8867,"[[0.7233333333333334, 0.30266666666666664, 0.412, 0.6035555555555555], [0.358, 0.62, 0.4613333333333333, 0.76]]","[11, 11]","[20, 20]","[[1104.667236328125, 331.9925842285156, 601.513916015625, 663.7437133789062], [706.0633544921875, 632.8944702148438, 428.56781005859375, 746.3385009765625], [508.46759033203125, 742.7620239257812, 710.138671875, 763.0845947265625]]","[11.0, 11.0, 11.0]","[0.9163498282432556, 0.86436527967453, 0.3396708071231842]"
D-29AlfMov_jpg.rf.a438d1930dd085d593708fe022debcc5,"[[0.17875, 0.47791798107255523, 0.2875, 0.8738170347003155], [0.5325, 0.5189274447949527, 0.335, 0.8296529968454258], [0.865, 0.5063091482649842, 0.19, 0.6277602523659306]]","[11, 11, 11]","[24, 24, 24]","[[71.77867126464844, 153.81455993652344, 121.86812591552734, 289.0697937011719], [214.03439331054688, 164.73667907714844, 139.13157653808594, 281.7658996582031], [345.83343505859375, 153.23573303222656, 88.59063720703125, 199.5330352783203]]","[11.0, 11.0, 11.0]","[0.9202994704246521, 0.9108949303627014, 0.8915038108825684]"
strawberry-leaf-stock-photo-1431216_jpg.rf.5412d7418958c093c73e7f7380103798,"[[0.5165384615384615, 0.32011217948717946, 0.36538461538461536, 0.5729166666666666], [0.2673076923076923, 0.5897435897435898, 0.4592307692307692, 0.3766025641025641], [0.6838461538461539, 0.6630608974358975, 0.4815384615384615, 0.390224358974359]]","[10, 10, 10]","[18, 18, 18]","[[349.4004211425781, 744.2334594726562, 563.8949584960938, 466.4171447753906], [900.7620849609375, 838.314697265625, 591.3323364257812, 466.66229248046875], [682.9838256835938, 398.31890869140625, 479.1148986816406, 706.208740234375]]","[10.0, 10.0, 10.0]","[0.968451976776123, 0.9607943296432495, 0.9518794417381287]"
1684_jpg.rf.9e484a840348050d74f7998685b22cc6,"[[0.7717584369449378, 0.43106180665610144, 0.38898756660746003, 0.4152139461172742], [0.4502664298401421, 0.2583201267828843, 0.33570159857904086, 0.5134706814580031], [0.302841918294849, 0.5380348652931854, 0.5026642984014209, 0.277337559429477], [0.27087033747779754, 0.8486529318541997, 0.5239786856127886, 0.21077654516640254], [0.7770870337477798, 0.8518225039619651, 0.4103019538188277, 0.21711568938193343]]","[11, 11, 11, 11, 11]","[21, 21, 21, 21, 21]","[[433.2359619140625, 280.4300842285156, 226.90542602539062, 261.41766357421875], [258.2916259765625, 164.63124084472656, 192.01885986328125, 329.2624816894531]]","[11.0, 11.0]","[0.9172804951667786, 0.8968106508255005]"
1234080-Early-Blight_jpg.rf.7469b645518cc644160fb3e2dd7616ba,"[[0.5670572916666666, 0.486328125, 0.6653645833333334, 0.7486979166666666]]",[11],[19],"[[425.4096984863281, 393.89727783203125, 544.5424194335938, 594.5052490234375]]",[11.0],[0.9296728372573853]
depositphotos_3786198-Peach-leaf_jpg.rf.1a9c0350297b126fd4ffd308eccae43d,"[[0.49658203125, 0.50439453125, 0.2666015625, 0.9912109375]]",[5],[10],"[[510.03753662109375, 512.0, 284.3931579589844, 1024.0]]",[5.0],[0.9285551309585571]
Tomato59_JPG_jpg.rf.83fd4beab551406e6851c37c3823e614,"[[0.6509375, 0.2925311203319502, 0.136875, 0.2697095435684647], [0.2340625, 0.34190871369294606, 0.279375, 0.2024896265560166], [0.80125, 0.26141078838174275, 0.1525, 0.23734439834024895], [0.3565625, 0.204149377593361, 0.071875, 0.13941908713692946], [0.2959375, 0.21991701244813278, 0.115625, 0.1045643153526971], [0.823125, 0.8850622406639004, 0.18875, 0.21161825726141079], [0.6928125, 0.8560165975103734, 0.128125, 0.2829875518672199], [0.22375, 0.6058091286307054, 0.1675, 0.08464730290456432], [0.40125, 0.7128630705394191, 0.20375, 0.11452282157676348], [0.4790625, 0.8759336099585062, 0.178125, 0.1950207468879668]]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]","[21, 21, 21, 21, 21, 21, 21, 21, 21, 21]","[[465.4078369140625, 1084.1790771484375, 203.54122924804688, 213.464599609375]]",[11.0],[0.7031184434890747]
peach-leaf-16690421_jpg.rf.2d7a96367e752bfc5aaf77a6ec2ec5bc,"[[0.5157692307692308, 0.4229559748427673, 0.9238461538461539, 0.4350104821802935]]",[5],[10],"[[667.859619140625, 402.4718322753906, 1093.751708984375, 391.36102294921875], [670.0631103515625, 404.3070983886719, 1093.011474609375, 395.60260009765625]]","[0.0, 5.0]","[0.7697384357452393, 0.4156090319156647]"
vitis-riparia-le-ahaines-b_jpg.rf.1d08b9f2b4bbc19d9f3bcf6c472c966c,"[[0.433, 0.5172413793103449, 0.714, 0.7487684729064039], [0.778, 0.8300492610837439, 0.264, 0.3399014778325123]]","[12, 12]","[28, 28]","[[445.8363037109375, 420.7210998535156, 702.85400390625, 657.4700317382812], [801.7005615234375, 668.433837890625, 229.409423828125, 284.32684326171875], [68.96235656738281, 763.6824951171875, 92.08943939208984, 96.32989501953125], [15.066125869750977, 756.0689697265625, 30.0133056640625, 109.6221923828125]]","[12.0, 12.0, 2.0, 2.0]","[0.938710629940033, 0.8875116109848022, 0.6149070262908936, 0.30685222148895264]"
tmv-tomato-34_jpg.rf.a006a837713241c4760cc4f690427052,"[[0.08196271929824561, 0.7388523391812866, 0.15789473684210525, 0.34612573099415206], [0.837171052631579, 0.333516081871345, 0.31853070175438597, 0.5544590643274854], [0.6278782894736842, 0.5085891812865497, 0.5068530701754386, 0.6019736842105263]]","[11, 11, 11]","[24, 24, 24]","[[260.6907043457031, 1980.7470703125, 521.3814086914062, 1070.8353271484375], [2340.477783203125, 1355.1947021484375, 1857.5159912109375, 1612.846923828125]]","[11.0, 11.0]","[0.6303569674491882, 0.5977883338928223]"
816_jpg.rf.e735367aa4e04fe1b91ebff897b28484,"[[0.3333333333333333, 0.38727272727272727, 0.3393939393939394, 0.6945454545454546], [0.6863636363636364, 0.3890909090909091, 0.31212121212121213, 0.6836363636363636]]","[0, 0]","[0, 0]","[[220.037841796875, 114.0296630859375, 107.27239990234375, 184.69180297851562], [108.44454193115234, 105.72761535644531, 113.42869567871094, 191.91534423828125]]","[0.0, 0.0]","[0.9296645522117615, 0.9247088432312012]"
1b321015-6e33-4f18-aade-888f4383fe92_jpeg_jpg.rf.5c77e962dda24b77c33a4b0a91cd32af,"[[0.5592447916666666, 0.5175097276264592, 0.5768229166666666, 0.6731517509727627]]",[0],[0],"[[421.79022216796875, 274.27886962890625, 452.522705078125, 330.6390380859375], [423.7730407714844, 273.317138671875, 451.23919677734375, 330.4488525390625]]","[0.0, 6.0]","[0.6831774711608887, 0.48808133602142334]"
20130519cedarapplerust_jpg.rf.bfef90b47bccf4d40c90a0d514c24456,"[[0.47130434782608693, 0.4953596287703016, 0.9391304347826087, 0.9767981438515081]]",[0],[2],"[[270.4571228027344, 215.26890563964844, 539.1303100585938, 426.2712097167969]]",[0.0],[0.9691567420959473]
28-500x375_jpg.rf.88cca514d857927d89eada989ffee204,"[[0.609, 0.48, 0.622, 0.7626666666666667], [0.242, 0.644, 0.28, 0.3973333333333333]]","[0, 0]","[0, 0]","[[302.5840148925781, 180.0609130859375, 304.29559326171875, 272.38031005859375]]",[0.0],[0.9522742629051208]
02_-Rust-2017-207u24s_jpg.rf.f1a95c4ac228e45d9b83a977e967d31e,"[[0.6370481927710844, 0.45532128514056225, 0.6378012048192772, 0.6937751004016064]]",[0],[2],"[[3439.207763671875, 1327.6312255859375, 3729.33740234375, 2195.359130859375], [3448.018798828125, 1351.8587646484375, 3727.96240234375, 2178.554931640625]]","[0.0, 11.0]","[0.6248178482055664, 0.35281670093536377]"
Corn-SCLB-2017-1_jpg.rf.51f8ecd030faf087d1f8adbd517043a1,"[[0.5321180555555556, 0.4988425925925926, 0.5353009259259259, 0.9891975308641975]]",[4],[8],"[[1821.247802734375, 2588.717041015625, 1884.4119873046875, 5174.05224609375]]",[4.0],[0.9209184050559998]
apple-scab-5366820_jpg.rf.72e45867d16d14736861803890774236,"[[0.5293478260869565, 0.5844504021447721, 0.758695652173913, 0.49865951742627346]]",[0],[0],"[[265.58843994140625, 220.62884521484375, 370.5977478027344, 193.1988525390625]]",[0.0],[0.9430917501449585]
depositphotos_1323551-stock-photo-raspberry-leaves_jpg.rf.4aa6de01f9956be9799aa08911c26ce6,"[[0.3583756345177665, 0.61669921875, 0.39593908629441626, 0.4462890625], [0.7238578680203046, 0.58154296875, 0.2984771573604061, 0.4658203125], [0.5477157360406092, 0.22509765625, 0.350253807106599, 0.2998046875]]","[7, 7, 7]","[14, 14, 14]","[[357.8331298828125, 629.6708374023438, 391.1680908203125, 453.5238952636719], [717.5118408203125, 597.8863525390625, 307.0107421875, 488.0914306640625], [545.2388916015625, 231.48516845703125, 352.4048767089844, 316.45501708984375]]","[7.0, 7.0, 7.0]","[0.9621492624282837, 0.8236563801765442, 0.5739132761955261]"
DSCN7317_JPG_jpg.rf.93c155a28060f4ead09163527be1fb3a,"[[0.4826797385620915, 0.5084375, 0.8777777777777778, 0.901875]]",[12],[28],"[[725.3228759765625, 788.6365966796875, 1398.580322265625, 1574.836669921875]]",[12.0],[0.9448073506355286]
LateBlight04_jpg.rf.c7ea6a10db8d7429ebda30dc17005492,"[[0.7185714285714285, 0.5450643776824035, 0.36857142857142855, 0.3948497854077253], [0.9442857142857143, 0.4699570815450644, 0.11142857142857143, 0.5021459227467812], [0.7585714285714286, 0.7703862660944206, 0.2885714285714286, 0.19313304721030042]]","[6, 6, 6]","[13, 13, 13]","[[251.73370361328125, 124.0711898803711, 115.73622131347656, 82.85838317871094], [73.26321411132812, 134.75341796875, 146.52642822265625, 96.47542572021484]]","[6.0, 6.0]","[0.9211868047714233, 0.6920303702354431]"
stock-photo-fresh-soy-leaves-isolated-on-white-94266130_jpg.rf.522be5cb0e053dff156f3e8d089be6f6,"[[0.3069908814589666, 0.5031914893617021, 0.303951367781155, 0.3638297872340426], [0.7142857142857143, 0.4340425531914894, 0.46808510638297873, 0.3404255319148936], [0.5987841945288754, 0.23404255319148937, 0.425531914893617, 0.13617021276595745]]","[8, 8, 8]","[15, 15, 15]","[[233.81256103515625, 199.39303588867188, 163.4708709716797, 141.9539337158203], [101.78571319580078, 241.89279174804688, 95.38194274902344, 163.07582092285156], [200.63661193847656, 117.19456481933594, 141.40707397460938, 67.966552734375]]","[8.0, 8.0, 8.0]","[0.9645143747329712, 0.9373763203620911, 0.36180579662323]"
2septoria-tomato_jpg.rf.a3f2818b80dbb06b7b8d6f0588492164,"[[0.39767441860465114, 0.4862068965517241, 0.6697674418604651, 0.8758620689655172], [0.6988372093023256, 0.6637931034482759, 0.47674418604651164, 0.6103448275862069]]","[11, 11]","[20, 20]","[[160.47528076171875, 142.7411651611328, 309.9727783203125, 265.5079650878906], [300.15863037109375, 191.97157287597656, 205.43350219726562, 180.67800903320312]]","[11.0, 11.0]","[0.9295992851257324, 0.9263294339179993]"
tomato_early-blight_01_zoom_jpg.rf.af9558071e678f5c4ada230b95aef27f,"[[0.45525291828793774, 0.5224867724867724, 0.4046692607003891, 0.5158730158730159], [0.7490272373540856, 0.25925925925925924, 0.3229571984435798, 0.5132275132275133], [0.22762645914396887, 0.7447089947089947, 0.3852140077821012, 0.46296296296296297]]","[11, 11, 11]","[19, 19, 19]","[[115.81022644042969, 197.08599853515625, 106.17919158935547, 189.4351043701172], [114.681640625, 58.641666412353516, 51.996551513671875, 112.8778305053711], [54.9066047668457, 262.57373046875, 98.83536529541016, 129.28880310058594], [195.55506896972656, 93.05776977539062, 92.32696533203125, 186.057861328125]]","[11.0, 11.0, 11.0, 11.0]","[0.8789947032928467, 0.8609749674797058, 0.7527592778205872, 0.30850306153297424]"
IMG_5808_jpg.rf.7ed17f6b1f5fbf1d3cf14d709993ccca,"[[0.611, 0.44233333333333336, 0.5315, 0.8186666666666667]]",[11],[23],"[[859.7406616210938, 1501.2662353515625, 1718.2933349609375, 2989.285888671875], [2476.393798828125, 1463.3861083984375, 1971.35009765625, 2821.341064453125], [3797.7529296875, 2009.07568359375, 404.494384765625, 1981.8486328125]]","[11.0, 11.0, 11.0]","[0.9202601313591003, 0.8534150123596191, 0.2882626950740814]"
potato-blight-phytophthora-infestans-close-up-of-upper-surface-of-BMMRXC_jpg.rf.6bdbd6977aa5aae4228c5c50d2ca6c3b,"[[0.46576923076923077, 0.4895397489539749, 0.8407692307692308, 0.6694560669456067]]",[6],[12],"[[658.49853515625, 467.2928161621094, 1017.6631469726562, 649.2482299804688], [657.30859375, 465.3459167480469, 1021.724609375, 649.7183227539062]]","[8.0, 6.0]","[0.3130554258823395, 0.25152352452278137]"
20130610_110514_jpg.rf.cde4818555323b7baffe20c3886025ab,"[[0.5676062091503268, 0.38817401960784315, 0.8647875816993464, 0.5986519607843137]]",[0],[2],"[[1654.807373046875, 1337.0546875, 2471.87646484375, 1828.0115966796875], [216.0797119140625, 841.4213256835938, 432.03662109375, 1682.4183349609375]]","[0.0, 0.0]","[0.9617271423339844, 0.49035266041755676]"
LateBlt09_06_jpg.rf.4e7f44f2c62af8e679bf830e9fe52d7d,"[[0.465, 0.5914179104477612, 0.38, 0.8171641791044776]]",[11],[23],"[[200.2471923828125, 159.9336395263672, 108.07029724121094, 213.97402954101562], [153.97348022460938, 89.64575958251953, 86.76927185058594, 77.11003112792969], [25.455490112304688, 127.95944213867188, 50.90973663330078, 154.46875]]","[11.0, 11.0, 6.0]","[0.8519259095191956, 0.5825193524360657, 0.2969413697719574]"
Black-20rot-20on-20foliage_jpg.rf.2ed37504e5c0ba8eb8d8cd24dc7ab906,"[[0.4056603773584906, 0.4968553459119497, 0.809433962264151, 0.8477987421383648]]",[12],[29],"[[447.54302978515625, 423.72369384765625, 894.037109375, 742.5526123046875]]",[12.0],[0.9386381506919861]
fc729af279e9087d00bd32d89a1552a756a3ad9de7f2b_1260x1260_jpg.rf.c1d742068f724807ab5ddda050d6e3b8,"[[0.49573863636363635, 0.4587301587301587, 0.4346590909090909, 0.753968253968254]]",[3],[6],"[[526.5015258789062, 652.6083374023438, 531.7137451171875, 1114.2423095703125]]",[0.0],[0.9257500171661377]
tomato_V8_jpg.rf.72539f2761c20b8d8500058583ad5de4,"[[0.32571428571428573, 0.275, 0.5885714285714285, 0.5038461538461538], [0.5014285714285714, 0.7269230769230769, 0.9457142857142857, 0.5076923076923077]]","[11, 11]","[22, 22]","[[114.09282684326172, 69.23603820800781, 222.5879364013672, 116.66815185546875], [175.83193969726562, 190.64337158203125, 335.22503662109375, 117.56460571289062]]","[11.0, 11.0]","[0.9304538369178772, 0.9070684313774109]"
stock-photo-green-blueberry-leaf-isolated-with-clipping-path-550344304_jpg.rf.6df1c3292041cd301ff54366f69cce08,"[[0.5059701492537313, 0.46808510638297873, 0.8925373134328358, 0.8851063829787233]]",[2],[5],"[[170.9642333984375, 216.97561645507812, 302.54150390625, 413.84527587890625]]",[0.0],[0.909906804561615]
00_jpg.rf.567521ea9c2d0153cb8b96c5bd18e692,"[[0.528125, 0.3958333333333333, 0.6895833333333333, 0.6472222222222223], [0.609375, 0.8444444444444444, 0.69375, 0.29444444444444445], [0.140625, 0.42777777777777776, 0.27708333333333335, 0.4666666666666667], [0.896875, 0.18333333333333332, 0.20625, 0.3611111111111111], [0.9041666666666667, 0.4486111111111111, 0.1875, 0.3472222222222222], [0.17291666666666666, 0.7458333333333333, 0.3125, 0.3638888888888889]]","[1, 1, 1, 1, 1, 1]","[4, 4, 4, 4, 4, 4]",[],[],[]
grape-leaf-14309623_jpg.rf.5bb9affc9928849c180a7a86fd172923,"[[0.4788166544923302, 0.5003846153846154, 0.760409057706355, 0.8207692307692308]]",[12],[28],"[[682.1582641601562, 628.1271362304688, 1160.6102294921875, 1136.0758056640625]]",[12.0],[0.9516263604164124]
stock-photo-soy-leaf-isolated-on-white-background-120961801_jpg.rf.d812a79764b4091943b232d8e0461a0f,"[[0.5553333333333333, 0.2944606413994169, 0.32266666666666666, 0.46938775510204084], [0.7213333333333334, 0.5674198250728864, 0.4026666666666667, 0.26457725947521865], [0.27266666666666667, 0.6016763848396501, 0.42933333333333334, 0.2747813411078717]]","[8, 8, 8]","[15, 15, 15]","[[829.9102783203125, 413.7853698730469, 471.36767578125, 629.2439575195312], [1082.153076171875, 778.8223876953125, 595.5856323242188, 359.52642822265625], [403.43743896484375, 828.3155517578125, 615.7332763671875, 353.67822265625]]","[8.0, 8.0, 8.0]","[0.9829565286636353, 0.9564605951309204, 0.9381046891212463]"
IMG_1629_JPG-1507122477_jpg.rf.31e11bf715c4fcd9da4c58ef9c2e037a,"[[0.4725, 0.57, 0.8916666666666667, 0.86]]",[1],[3],"[[278.3297119140625, 440.17303466796875, 546.30322265625, 719.6539306640625]]",[1.0],[0.9431475400924683]
07_17_18-Common_Tomato_Diseases_Canker-258x300_jpg.rf.a0d5fcd5473162b82bfb860c56710ef6,"[[0.49806201550387597, 0.48833333333333334, 0.8255813953488372, 0.9166666666666666]]",[11],[22],"[[125.0589828491211, 141.17076110839844, 217.57411193847656, 282.3415222167969]]",[11.0],[0.9232897162437439]
2256-body-1501555581-1_jpg.rf.467676a08c9f33ab70c551e16e11beb1,"[[0.4966299019607843, 0.4950980392156863, 0.991421568627451, 0.9836601307189542]]",[4],[9],"[[1632.0, 1209.7698974609375, 3264.0, 2407.302978515625]]",[4.0],[0.9542360305786133]
powdery-mildew-erysiphe-plantani-on-young-sycamore-leaves-b774tm_jpg.rf.5714e9a1fdbb25b85acc6e62ffb59f23,"[[0.49612403100775193, 0.31203703703703706, 0.5775193798449613, 0.2796296296296296]]",[9],[17],"[[216.54542541503906, 238.26873779296875, 420.4892883300781, 476.5374755859375]]",[9.0],[0.5077181458473206]
ill-tomato-of-tomato-mosaic-virus-DBE17N_jpg.rf.d8e1b8cc53cfe66c00e6053a7cc5ee29,"[[0.1803846153846154, 0.6150627615062761, 0.15, 0.25732217573221755], [0.7523076923076923, 0.8111924686192469, 0.09846153846153846, 0.20815899581589958], [0.8288461538461539, 0.5978033472803347, 0.10076923076923076, 0.19142259414225943], [0.31576923076923075, 0.22018828451882846, 0.11923076923076924, 0.2290794979079498], [0.20423076923076924, 0.3540794979079498, 0.33, 0.18305439330543932], [0.43153846153846154, 0.5235355648535565, 0.21076923076923076, 0.34414225941422594]]","[11, 11, 11, 11, 11, 11]","[24, 24, 24, 24, 24, 24]","[[983.0870361328125, 764.0760498046875, 162.65338134765625, 197.2635498046875], [405.2098388671875, 223.3988037109375, 146.61529541015625, 279.7388916015625], [1085.263671875, 566.822265625, 133.6734619140625, 202.64816284179688], [254.3387451171875, 727.4899291992188, 180.87937927246094, 276.9644775390625], [242.94943237304688, 327.6517028808594, 363.6334228515625, 172.8548583984375], [593.7742919921875, 56.25135803222656, 263.1683654785156, 107.72549438476562]]","[11.0, 1.0, 11.0, 1.0, 1.0, 1.0]","[0.907839834690094, 0.9004889130592346, 0.8085674047470093, 0.7459599375724792, 0.691466212272644, 0.3403589427471161]"
grapevine-leaf-7466071_jpg.rf.644470c05407c38765db87a223a58ece,"[[0.4671862182116489, 0.5588461538461539, 0.7128794093519278, 0.6684615384615384]]",[12],[28],"[[566.0485229492188, 731.2338256835938, 859.8818359375, 862.3277587890625]]",[12.0],[0.9445341229438782]
fresh-soy-leaves-isolated-on-260nw-667193923_jpg.rf.f8bb3b073948c0a6abff06d63c69acb6,"[[0.47634069400630913, 0.45535714285714285, 0.4353312302839117, 0.6964285714285714]]",[8],[15],"[[151.02919006347656, 123.89539337158203, 132.38198852539062, 203.62803649902344]]",[8.0],[0.8742432594299316]
glyphosate_jpg.rf.0b67b3bed88e19d39a31713c24091072,"[[0.7696700507614214, 0.3397790055248619, 0.17639593908629442, 0.16574585635359115], [0.9295685279187818, 0.3632596685082873, 0.11548223350253807, 0.22375690607734808], [0.4784263959390863, 0.2845303867403315, 0.10913705583756345, 0.143646408839779], [0.25253807106598986, 0.19337016574585636, 0.13705583756345177, 0.143646408839779], [0.10469543147208121, 0.606353591160221, 0.13071065989847716, 0.19060773480662985], [0.2468274111675127, 0.5759668508287292, 0.11294416243654823, 0.15193370165745856]]","[11, 11, 11, 11, 11, 11]","[25, 25, 25, 25, 25, 25]","[[372.4952392578125, 106.84036254882812, 75.55569458007812, 54.7608642578125], [38.94831848144531, 103.04132080078125, 74.63482666015625, 52.15961456298828], [728.4057006835938, 127.89717102050781, 102.2247314453125, 77.70642852783203]]","[11.0, 11.0, 11.0]","[0.7473652362823486, 0.6377370357513428, 0.5509202480316162]"
apple-20scabnew_jpg.rf.d27d2da4626fa5f3811be39efd4df8f4,"[[0.4785714285714286, 0.5522959183673469, 0.7122448979591837, 0.5433673469387755]]",[0],[0],"[[227.90235900878906, 216.0804901123047, 354.2830505371094, 200.33468627929688]]",[0.0],[0.9569085836410522]
0796_20graylssymt_jpg.rf.a0a2e93e436491103d24edefcff936d1,"[[0.5011574074074074, 0.5285714285714286, 0.9930555555555556, 0.7942857142857143]]",[4],[8],"[[216.0, 185.11203002929688, 432.0, 283.98626708984375]]",[4.0],[0.9416822195053101]
35589125035_662dd5b258_b_jpg.rf.c409efcfde1a687f37d2381f81021cca,"[[0.5618466898954704, 0.5019607843137255, 0.8554006968641115, 0.7947712418300653]]",[12],[29],"[[313.54058837890625, 387.85858154296875, 517.9461669921875, 607.756591796875], [441.27923583984375, 114.60476684570312, 264.2871398925781, 229.20953369140625]]","[12.0, 12.0]","[0.9417212605476379, 0.6462129950523376]"
Apple-Leaf-Wallpaper-17_jpg.rf.98c98eac348bacc7162ad99ff12c34c7,"[[0.535546875, 0.5287037037037037, 0.48671875, 0.9425925925925925]]",[0],[1],"[[2480.9072265625, 1149.7470703125, 2718.185791015625, 2020.505859375], [2083.404296875, 1150.418701171875, 1906.223876953125, 2017.3037109375]]","[7.0, 7.0]","[0.890338659286499, 0.33041054010391235]"
5-29black-rot-chardRR_jpg.rf.972bdba15332ddeca972a6aa42f30e5f,"[[0.49444444444444446, 0.5049668874172185, 0.9177777777777778, 0.9900662251655629]]",[12],[29],"[[227.68821716308594, 153.52865600585938, 420.7962951660156, 291.618408203125]]",[12.0],[0.9703938961029053]
d7b79dbc0bca0eb3e63fbe5dfb256ccd53d90a4eb1413_1260x1260_jpg.rf.15ef4dcff10d079c9883c8893a025cce,"[[0.5033143939393939, 0.513095238095238, 0.35890151515151514, 0.876984126984127]]",[3],[6],"[[537.4751586914062, 645.8754272460938, 374.23974609375, 1096.0186767578125]]",[3.0],[0.9564929604530334]
backus-056-potato-blight_jpg.rf.70d8ec2e2694286e3c6093b405d2c7e5,"[[0.7011938202247191, 0.6605805243445693, 0.5014044943820225, 0.5262172284644194], [0.4002808988764045, 0.2226123595505618, 0.2907303370786517, 0.3796816479400749], [0.2129564606741573, 0.5400280898876404, 0.2735252808988764, 0.33286516853932585], [0.3497191011235955, 0.6849250936329588, 0.21207865168539325, 0.4691011235955056]]","[6, 6, 6, 6]","[12, 12, 12, 12]","[[2016.76171875, 1406.871337890625, 1438.12353515625, 1099.882568359375], [1152.5643310546875, 462.90203857421875, 811.396484375, 821.6142578125], [1063.2392578125, 1484.2908935546875, 768.2393188476562, 1043.209228515625], [587.921875, 1150.844970703125, 778.5863037109375, 709.7793579101562]]","[6.0, 6.0, 6.0, 6.0]","[0.950324535369873, 0.9370753765106201, 0.9307113289833069, 0.9053764343261719]"
dsc_8148cs_jpg.rf.69993ec24d7493f131ea68e581d702dd,"[[0.5096227867590454, 0.5272296764009471, 0.9807544264819091, 0.9265982636148382]]",[11],[23],"[[631.6620483398438, 651.0896606445312, 1263.3240966796875, 1194.3822021484375]]",[11.0],[0.8513445854187012]
wild-strawberry-leaf-top-view-rotated-KTBXCY_jpg.rf.176bef21d95b538b84968dc3cc027ce4,"[[0.635, 0.537117903930131, 0.43923076923076926, 0.31965065502183404], [0.5307692307692308, 0.28078602620087334, 0.2907692307692308, 0.2611353711790393], [0.34192307692307694, 0.5589519650655022, 0.2776923076923077, 0.4314410480349345]]","[10, 10, 10]","[18, 18, 18]","[[437.91180419921875, 642.0430908203125, 372.5865478515625, 493.8625183105469], [705.26220703125, 331.7127990722656, 390.57684326171875, 344.6514892578125], [841.12158203125, 613.4169311523438, 563.46875, 391.8988037109375]]","[10.0, 10.0, 10.0]","[0.9427968859672546, 0.9332467913627625, 0.915311336517334]"
6134794031202304_jpeg_jpg.rf.572776d10bbb137bdf33326aeddd9cb1,"[[0.3591666666666667, 0.544375, 0.515, 0.58125]]",[11],[20],"[[234.1444091796875, 429.17791748046875, 333.9658203125, 491.6588134765625], [464.2914123535156, 451.75079345703125, 194.39581298828125, 216.1505126953125], [464.27325439453125, 220.53213500976562, 238.0557861328125, 282.35260009765625]]","[11.0, 11.0, 11.0]","[0.9076730608940125, 0.8660376071929932, 0.29215294122695923]"
